Customer_id,Frequency,Total_Transaksi,Last_Order_Date,Recency,Avg_Transaction
7.0,8,400000,2025-03-16 15:07:26,107,50000
15.0,1,200000,2025-04-27 09:46:51,65,200000
22.0,1,50000,2025-03-01 05:08:01,122,50000
42.0,2,100000,2025-03-03 18:41:46,120,50000
88.0,7,350000,2025-02-25 15:25:19,126,50000
147.0,10,3000000,2025-04-01 07:20:12,91,300000
186.0,1,50000,2025-04-26 05:32:33,66,50000
229.0,3,350000,2025-03-06 00:00:25,117,116667
240.0,2,100000,2025-02-28 10:25:55,123,50000
302.0,3,150000,2025-05-21 13:43:36,41,50000
327.0,1,649000,2025-02-25 18:04:26,126,649000
348.0,5,250000,2025-02-16 12:58:32,135,50000
492.0,8,2400000,2025-04-10 17:21:44,82,300000
541.0,3,150000,2025-02-18 21:57:37,132,50000
674.0,1,300000,2025-05-18 16:09:15,44,300000
716.0,3,150000,2025-02-13 04:38:57,138,50000
763.0,3,150000,2025-03-18 13:34:01,105,50000
847.0,1,300000,2025-02-25 11:48:15,126,300000
874.0,4,200000,2025-03-17 16:51:04,106,50000
1328.0,1,50000,2025-06-07 05:28:10,24,50000
1717.0,1,300000,2025-03-11 20:27:06,111,300000
2417.0,5,1500000,2025-03-16 18:43:28,107,300000
2846.0,2,100000,2025-02-28 12:24:36,123,50000
3244.0,4,1200000,2025-03-16 03:31:29,107,300000
3333.0,1,50000,2025-05-20 10:53:39,42,50000
3556.0,10,500000,2025-04-01 17:42:04,91,50000
4571.0,2,600000,2025-03-01 21:21:15,121,300000
4834.0,1,50000,2025-03-13 10:52:40,110,50000
5039.0,1,50000,2025-02-24 18:58:08,127,50000
6823.0,1,200000,2025-01-13 15:39:11,169,200000
6828.0,6,300000,2025-05-19 19:46:57,43,50000
7091.0,3,900000,2025-06-21 12:10:58,10,300000
8207.0,4,200000,2025-05-15 20:21:43,46,50000
8343.0,6,300000,2025-02-13 09:13:23,138,50000
8469.0,3,150000,2025-04-04 05:11:49,88,50000
8666.0,1,50000,2025-05-13 20:01:35,48,50000
8758.0,5,1400000,2025-02-24 15:46:57,127,280000
11001.0,2,100000,2025-03-19 12:40:06,104,50000
11445.0,5,250000,2025-05-23 09:51:11,39,50000
14250.0,1,300000,2025-02-22 16:31:53,129,300000
14306.0,1,50000,2025-03-06 06:09:45,117,50000
16498.0,1,300000,2025-03-10 16:02:26,113,300000
17678.0,3,900000,2025-04-25 04:38:50,67,300000
17889.0,3,150000,2025-03-07 18:09:40,116,50000
18608.0,2,600000,2025-03-06 05:05:05,117,300000
19698.0,1,50000,2025-03-12 15:14:43,111,50000
19801.0,1,300000,2025-06-22 10:40:45,9,300000
20107.0,1,250000,2025-03-19 19:20:30,104,250000
21231.0,1,50000,2025-03-03 10:01:39,120,50000
21752.0,2,570000,2025-03-12 12:13:58,111,285000
27172.0,1,50000,2025-04-30 11:34:16,62,50000
30944.0,1,300000,2025-03-30 13:11:06,93,300000
34514.0,2,95000,2025-06-11 09:01:27,20,47500
36317.0,1,649000,2025-04-04 22:13:08,87,649000
38689.0,1,125000,2025-02-02 12:37:52,149,125000
38851.0,1,50000,2025-02-12 19:58:36,138,50000
38966.0,1,300000,2025-05-04 12:24:07,58,300000
43541.0,1,50000,2025-06-23 20:55:36,7,50000
45774.0,1,45000,2025-03-02 11:06:25,121,45000
51045.0,1,50000,2025-04-26 05:15:38,66,50000
52344.0,10,500000,2025-03-08 23:44:21,114,50000
52447.0,3,900000,2025-03-15 13:47:25,108,300000
56137.0,3,150000,2025-04-03 09:54:58,89,50000
58291.0,2,100000,2025-02-16 08:53:47,135,50000
60666.0,2,100000,2025-02-19 17:12:41,132,50000
61544.0,1,270000,2025-03-17 16:00:55,106,270000
63097.0,2,100000,2025-03-03 03:06:16,120,50000
66865.0,1,50000,2025-03-11 17:09:49,112,50000
67706.0,7,2100000,2025-03-01 05:51:02,122,300000
73403.0,3,150000,2025-06-18 08:51:44,13,50000
73647.0,15,750000,2025-03-08 06:23:30,115,50000
79637.0,1,250000,2025-06-20 12:59:40,11,250000
81664.0,1,50000,2025-03-16 07:25:13,107,50000
89357.0,2,100000,2025-03-07 15:08:06,116,50000
94957.0,1,300000,2025-03-08 05:13:28,115,300000
95147.0,2,100000,2025-03-01 05:37:42,122,50000
97494.0,3,650000,2025-03-07 00:09:40,116,216667
97790.0,1,50000,2025-03-02 05:17:03,121,50000
98740.0,1,249000,2025-01-01 15:40:04,181,249000
99405.0,5,545000,2025-02-14 18:58:58,137,109000
102567.0,1,150000,2025-01-23 20:23:42,158,150000
106272.0,1,40000,2025-04-03 15:49:51,89,40000
106579.0,4,200000,2025-01-05 16:52:21,177,50000
119566.0,1,50000,2025-02-24 18:48:47,127,50000
120584.0,1,50000,2025-02-15 19:11:40,136,50000
121091.0,1,240000,2025-04-05 10:35:59,87,240000
133248.0,1,249000,2025-01-01 10:25:27,181,249000
134414.0,1,50000,2025-01-31 05:57:11,151,50000
134434.0,1,100000,2025-03-06 09:30:50,117,100000
147607.0,2,299000,2025-01-02 09:23:41,180,149500
153235.0,2,100000,2025-06-06 17:46:16,25,50000
166911.0,7,350000,2025-03-11 21:47:42,111,50000
166916.0,12,3600000,2025-06-20 04:38:53,11,300000
171699.0,1,300000,2025-03-08 20:53:07,114,300000
177464.0,1,255000,2025-03-01 18:51:15,122,255000
181159.0,1,50000,2025-03-16 07:26:05,107,50000
190947.0,2,350000,2025-02-10 06:18:01,141,175000
195903.0,1,50000,2025-01-01 14:02:54,181,50000
200876.0,1,125000,2025-01-31 22:20:16,150,125000
206261.0,3,870000,2025-01-14 09:04:22,168,290000
233326.0,1,300000,2025-02-03 20:47:23,147,300000
244307.0,1,100000,2025-03-17 13:08:16,106,100000
250877.0,1,50000,2025-04-25 15:22:28,67,50000
265702.0,1,50000,2025-05-03 13:38:11,59,50000
266469.0,1,270000,2025-04-25 17:52:50,67,270000
271675.0,10,500000,2025-05-09 17:05:39,53,50000
273214.0,1,255000,2025-01-27 20:35:49,154,255000
290841.0,2,498000,2025-01-04 15:31:39,178,249000
291524.0,1,50000,2025-02-24 13:24:03,127,50000
294213.0,1,150000,2025-01-17 19:27:57,165,150000
305992.0,1,50000,2025-01-11 17:18:16,171,50000
309071.0,1,300000,2025-02-16 23:43:05,134,300000
317352.0,1,255000,2025-01-28 13:53:24,154,255000
322179.0,1,50000,2025-01-15 07:06:53,167,50000
328126.0,3,800000,2025-01-09 09:09:37,173,266667
331970.0,1,300000,2025-05-04 19:52:16,58,300000
336048.0,1,240000,2025-06-09 09:15:19,22,240000
339390.0,1,125000,2025-02-01 00:12:37,150,125000
340538.0,1,125000,2025-01-28 12:52:01,154,125000
365954.0,1,175000,2025-03-01 14:13:19,122,175000
368961.0,2,570000,2025-02-20 09:23:29,131,285000
371259.0,1,300000,2025-06-19 19:47:23,12,300000
379674.0,2,100000,2025-03-11 16:31:13,112,50000
381363.0,1,50000,2025-01-21 06:38:38,161,50000
391984.0,2,600000,2025-05-07 17:10:19,55,300000
400576.0,1,270000,2025-03-26 09:26:53,97,270000
412603.0,1,50000,2025-01-13 18:20:21,169,50000
422544.0,1,50000,2025-01-06 15:52:34,176,50000
424219.0,2,200000,2025-02-19 17:43:58,132,100000
439690.0,2,540000,2025-04-23 15:31:08,69,270000
458605.0,1,50000,2025-02-10 16:24:23,141,50000
463651.0,1,300000,2025-02-08 05:56:15,143,300000
465713.0,1,255000,2025-02-27 13:59:10,124,255000
471480.0,1,50000,2025-05-10 07:37:18,52,50000
472242.0,1,50000,2025-01-31 13:07:23,151,50000
480205.0,1,45000,2025-03-01 10:24:33,122,45000
481815.0,1,270000,2025-01-09 10:57:05,173,270000
484227.0,2,100000,2025-01-20 16:25:40,162,50000
492084.0,1,50000,2025-02-03 08:59:40,148,50000
501186.0,1,300000,2025-03-11 05:44:46,112,300000
503570.0,1,175000,2025-03-13 09:42:53,110,175000
506329.0,4,628500,2025-02-01 09:24:06,150,157125
524840.0,4,300000,2025-02-19 09:23:02,132,75000
526461.0,1,270000,2025-01-22 17:32:08,160,270000
527077.0,1,45000,2025-02-28 08:30:33,123,45000
538420.0,1,300000,2025-01-31 19:44:57,151,300000
543666.0,1,50000,2025-06-22 17:57:28,9,50000
546230.0,2,100000,2025-03-01 05:27:20,122,50000
554301.0,2,150000,2025-02-02 14:26:24,149,75000
556819.0,1,45000,2025-03-01 11:40:25,122,45000
559406.0,1,300000,2025-03-13 05:27:01,110,300000
561256.0,1,50000,2025-05-27 18:20:39,35,50000
562788.0,1,50000,2025-06-27 06:47:56,4,50000
567348.0,6,300000,2025-01-01 16:37:55,181,50000
572800.0,1,255000,2025-03-15 13:49:10,108,255000
573034.0,1,255000,2025-03-01 10:41:35,122,255000
597266.0,1,270000,2025-02-19 11:39:47,132,270000
598227.0,1,150000,2025-01-20 14:45:06,162,150000
600199.0,1,50000,2025-03-01 12:43:34,122,50000
601782.0,1,50000,2025-02-13 04:19:56,138,50000
609086.0,1,270000,2025-01-19 06:10:46,163,270000
622197.0,1,50000,2025-01-19 20:47:29,162,50000
629713.0,1,50000,2025-03-08 06:21:22,115,50000
641629.0,1,50000,2025-02-13 19:04:21,138,50000
644252.0,1,50000,2025-02-28 21:57:43,122,50000
644830.0,1,240000,2025-04-30 11:32:15,62,240000
657901.0,1,50000,2025-03-16 06:27:59,107,50000
658366.0,1,125000,2025-07-01 15:28:46,0,125000
661391.0,1,50000,2025-02-22 20:33:50,128,50000
662458.0,1,255000,2025-03-02 11:32:40,121,255000
666746.0,1,50000,2025-03-03 08:37:46,120,50000
670541.0,1,50000,2025-03-12 04:49:54,111,50000
675713.0,3,150000,2025-03-09 23:07:41,113,50000
680980.0,1,50000,2025-02-28 22:09:39,122,50000
682304.0,1,50000,2025-01-29 11:54:28,153,50000
683937.0,1,300000,2025-04-25 20:34:10,66,300000
693906.0,1,25000,2025-06-30 16:15:44,1,25000
695196.0,2,100000,2025-04-20 08:51:41,72,50000
696219.0,1,50000,2025-03-03 05:18:57,120,50000
704167.0,1,50000,2025-06-28 20:03:04,2,50000
704210.0,1,270000,2025-01-25 15:00:37,157,270000
705152.0,1,250000,2025-06-22 22:18:02,8,250000
717449.0,1,50000,2025-05-13 21:45:08,48,50000
717647.0,1,300000,2025-01-28 07:45:08,154,300000
717651.0,4,1170000,2025-01-22 09:23:26,160,292500
720748.0,1,447000,2025-02-16 14:56:55,135,447000
724303.0,1,50000,2025-05-23 10:45:51,39,50000
728903.0,3,150000,2025-02-19 07:18:09,132,50000
729093.0,2,100000,2025-02-07 05:04:50,144,50000
729757.0,1,50000,2025-06-13 18:18:26,18,50000
733262.0,1,175000,2025-03-17 16:42:15,106,175000
734537.0,1,50000,2025-03-07 08:22:53,116,50000
735793.0,1,249000,2025-01-03 16:23:28,179,249000
738423.0,1,255000,2025-01-27 19:39:26,155,255000
752270.0,1,50000,2025-02-28 08:26:00,123,50000
755866.0,1,50000,2025-03-03 07:43:05,120,50000
758481.0,1,125000,2025-01-28 10:55:40,154,125000
763409.0,1,300000,2025-04-21 17:42:18,71,300000
765865.0,2,600000,2025-01-30 05:26:55,152,300000
766292.0,3,150000,2025-02-03 06:41:52,148,50000
768563.0,1,45000,2025-03-02 06:24:19,121,45000
768722.0,2,540000,2025-03-17 15:29:47,106,270000
770876.0,2,100000,2025-02-28 22:04:02,122,50000
770982.0,1,50000,2025-02-24 12:32:54,127,50000
772612.0,1,50000,2025-02-21 14:19:59,130,50000
778931.0,1,300000,2025-04-26 20:21:49,65,300000
779640.0,3,900000,2025-02-27 13:04:10,124,300000
781596.0,1,255000,2025-03-02 08:31:55,121,255000
785034.0,1,50000,2025-05-24 10:23:23,38,50000
793010.0,1,100000,2025-03-07 10:09:31,116,100000
800174.0,1,300000,2025-03-09 16:14:32,114,300000
808646.0,2,510000,2025-05-26 09:34:47,36,255000
814003.0,1,300000,2025-01-26 17:18:21,156,300000
823624.0,4,1200000,2025-01-26 07:44:16,156,300000
826461.0,1,300000,2025-03-02 06:08:16,121,300000
831672.0,1,300000,2025-01-10 00:44:10,172,300000
839481.0,1,50000,2025-02-17 06:13:17,134,50000
840437.0,2,500000,2025-05-06 13:38:44,56,250000
844494.0,1,100000,2025-04-17 07:41:54,75,100000
856009.0,1,300000,2025-04-24 13:03:31,68,300000
867261.0,1,300000,2025-01-03 20:59:06,178,300000
878899.0,2,600000,2025-02-01 14:47:44,150,300000
880308.0,1,300000,2025-01-09 19:28:30,173,300000
890539.0,3,900000,2025-04-18 14:49:36,74,300000
895487.0,1,300000,2025-01-19 17:27:58,163,300000
908711.0,8,2150000,2025-05-31 18:50:55,31,268750
935876.0,1,50000,2025-01-22 08:54:09,160,50000
963263.0,1,300000,2025-02-27 17:49:14,124,300000
965154.0,1,300000,2025-01-30 08:58:27,152,300000
968652.0,6,1075000,2025-02-03 13:40:13,148,179167
980778.0,4,200000,2025-02-23 05:08:43,128,50000
985775.0,1,50000,2025-01-29 09:51:55,153,50000
1003340.0,1,300000,2025-05-04 15:54:42,58,300000
1004671.0,1,300000,2025-04-08 20:48:04,83,300000
1012406.0,1,50000,2025-01-05 05:25:28,177,50000
1020517.0,3,150000,2025-01-19 19:22:08,163,50000
1039906.0,1,50000,2025-04-09 19:28:05,83,50000
1051822.0,1,50000,2025-01-19 16:01:34,163,50000
1053751.0,1,50000,2025-01-31 05:55:44,151,50000
1056804.0,1,300000,2025-01-07 09:12:45,175,300000
1058669.0,3,900000,2025-02-07 15:28:01,144,300000
1061704.0,1,100000,2025-01-16 17:03:02,166,100000
